floor,space_name,time,noise_level,visitors,opening_hour,closing_hour,hasComp,hasCharger
1,space_1,7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,1|1|1|1|3|3|2|4|5|4|3|3|2|2|2|1|1,1|2|2|2|4|4|5|6|8|9|10|8|7|4|3|1|1,7:00,0:00,no,yes
1,space_2,7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,1|1|2|3|3|3|3|4|4|4|5|5|3|2|2|1|1,2|4|5|6|7|7|8|7|5|5|4|3|3|3|2|2|1,7:00,0:00,yes,yes
1,space_3,7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,1|1|1|1|2|2|2|3|3|4|3|3|3|2|2|1|1,1|1|2|2|2|3|6|6|6|7|6|5|4|3|3|2|1,7:00,0:00,yes,yes
1,space_4,7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,1|2|2|2|3|3|3|4|4|4|4|4|4|4|3|1|1,2|2|4|5|5|5|7|9|10|9|8|6|5|5|4|3|1,7:00,0:00,no,yes
1,space_5,7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,1|2|3|2|3|3|3|4|5|5|4|3|4|2|2|1|1,1|3|3|2|4|5|7|8|10|7|6|4|3|3|2|2|1,7:00,0:00,no,yes
2,space_6,7|8|9|10|11|12|13|14|15|16|17|18|19,2|3|3|2|3|4|4|3|2|1|2|2|1,2|4|4|5|6|7|8|6|5|4|3|3|1,7:00,20:00,no,no
2,space_7,7|8|9|10|11|12|13|14|15|16|17|18|19,1|1|1|2|2|3|3|2|2|2|1|1|1,2|4|4|5|6|7|8|6|5|4|3|3|2,7:00,20:00,no,yes
2,space_8,7|8|9|10|11|12|13|14|15|16|17|18|19,2|2|2|3|2|4|5|4|3|2|1|1|1,2|4|4|5|6|7|8|6|5|4|3|3|3,7:00,20:00,no,yes
2,space_9,7|8|9|10|11|12|13|14|15|16|17|18|19,1|1|1|1|2|3|4|5|5|4|3|2|1,2|4|4|5|6|7|8|6|5|4|3|3|4,7:00,20:00,no,yes
2,space_10,7|8|9|10|11|12|13|14|15|16|17|18|19,1|2|2|3|2|3|4|4|3|2|3|2|1,2|4|4|5|6|7|8|6|5|4|3|3|5,7:00,20:00,yes,yes
3,space_11,7|8|9|10|11|12|13|14|15|16|17|18|19,1|1|1|2|2|2|3|3|4|3|2|2|1,2|4|4|5|6|7|8|6|5|4|3|3|6,7:00,20:00,yes,yes
3,space_12,7|8|9|10|11|12|13|14|15|16|17|18|19,2|3|3|4|4|5|5|5|4|3|2|2|1,2|4|4|5|6|7|8|6|5|4|3|3|7,7:00,20:00,yes,yes
3,space_13,7|8|9|10|11|12|13|14|15|16|17|18|19,1|1|2|3|3|3|4|4|3|2|1|2|2,2|4|4|5|6|7|8|6|5|4|3|3|8,7:00,20:00,yes,no
3,space_14,7|8|9|10|11|12|13|14|15|16|17|18|19,2|3|4|4|4|3|2|3|3|2|2|1|1,2|4|4|5|6|7|8|6|5|4|3|3|9,7:00,20:00,no,no
3,space_15,7|8|9|10|11|12|13|14|15|16|17|18|19,1|2|2|3|4|4|5|4|3|4|2|1|1,2|4|4|5|6|7|8|6|5|4|3|3|10,7:00,20:00,yes,no
